,business_id,full_address,hours,open,categories,city,review_count,name,neighborhoods,longitude,state,stars,latitude,attributes,type
26,x7pStpT09Tdc8d7oRU0Tmw,"1620 Deming Way
Middleton, WI 53562","{'Monday': {'close': '20:00', 'open': '10:00'}, 'Tuesday': {'close': '20:00', 'open': '10:00'}, 'Friday': {'close': '20:00', 'open': '10:00'}, 'Wednesday': {'close': '20:00', 'open': '10:00'}, 'Thursday': {'close': '20:00', 'open': '10:00'}, 'Sunday': {'close': '17:00', 'open': '12:00'}, 'Saturday': {'close': '20:00', 'open': '10:00'}}",True,"[""Women's Clothing"", 'Shopping Centers', 'Fashion', 'Shopping']",Middleton,7,Greenway Station Shopping Center,[],-89.52845,WI,3.5,43.091816,"{'Parking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Price Range': 2}",business
64,xm1RtU63jxjYsm-7dzGaZA,"32 W Towne Mall
Madison, WI 53719",{},True,"[""Women's Clothing"", ""Men's Clothing"", 'Fashion', 'Shopping']",Madison,6,Banana Republic,[],-89.5093171,WI,3.0,43.0570899,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}",business
75,pwHZ5uUB3cWis9O-L__hdA,"Greenway Station
1621 Demingway
Middleton, WI 53562","{'Monday': {'close': '20:00', 'open': '10:00'}, 'Tuesday': {'close': '20:00', 'open': '10:00'}, 'Friday': {'close': '20:00', 'open': '10:00'}, 'Wednesday': {'close': '20:00', 'open': '10:00'}, 'Thursday': {'close': '20:00', 'open': '10:00'}, 'Sunday': {'close': '17:00', 'open': '12:00'}, 'Saturday': {'close': '20:00', 'open': '10:00'}}",True,"[""Women's Clothing"", 'Fashion', 'Shopping', 'Accessories']",Middleton,4,LOFT,[],-89.5253382,WI,2.0,43.09384,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}",business
112,TEmZrRoun4ws7GMAbMpQUw,"2348 E Springs Dr
Madison, WI 53704",{},True,"[""Women's Clothing"", ""Men's Clothing"", 'Fashion', 'Shopping', ""Children's Clothing""]",Madison,4,Old Navy Store,[],-89.294337,WI,4.0,43.1292399,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': True, 'Price Range': 2}",business
129,0FdNeZAx-afgg8HV9oyqSw,"1726 Fordem Ave
Madison, WI 53704","{'Monday': {'close': '21:00', 'open': '12:00'}, 'Tuesday': {'close': '21:00', 'open': '12:00'}, 'Friday': {'close': '21:00', 'open': '12:00'}, 'Wednesday': {'close': '21:00', 'open': '12:00'}, 'Thursday': {'close': '21:00', 'open': '12:00'}, 'Sunday': {'close': '20:00', 'open': '12:00'}, 'Saturday': {'close': '21:00', 'open': '12:00'}}",True,"['Food', 'Ice Cream & Frozen Yogurt']",Madison,7,Chocolate Shoppe Ice Cream,[],-89.363672,WI,3.5,43.0947001,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Accepts Credit Cards': True, 'Wheelchair Accessible': True, 'Wi-Fi': 'no', 'Price Range': 1}",business
728,Guw0j717cVbVLYfn3sK1RQ,"3041 N 16th St
Phoenix, AZ 85016","{'Monday': {'close': '21:00', 'open': '07:30'}, 'Tuesday': {'close': '21:00', 'open': '07:30'}, 'Friday': {'close': '21:00', 'open': '07:30'}, 'Wednesday': {'close': '21:00', 'open': '07:30'}, 'Thursday': {'close': '21:00', 'open': '07:30'}, 'Saturday': {'close': '21:00', 'open': '07:30'}}",True,"['Automotive', 'Auto Parts & Supplies']",Phoenix,5,O'Reilly Auto Parts,[],-112.047253,AZ,5.0,33.48336,{},business
759,t54zAs7IftAVb9SKcCRotw,"3015 E Thomas Rd
Phoenix, AZ 85016",{},False,"['Greek', 'Mediterranean', 'Restaurants']",Phoenix,34,Bacchanal Ristorante,[],-112.016481,AZ,4.0,33.479605,"{'Alcohol': 'full_bar', 'Noise Level': 'average', 'Has TV': False, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Good for Kids': True, 'Wheelchair Accessible': True, 'Delivery': False, 'Corkage': False, 'Accepts Credit Cards': True, 'BYOB/Corkage': 'yes_free', 'Take-out': True, 'Price Range': 2, 'Outdoor Seating': False, 'Takes Reservations': True, 'Waiter Service': True, 'Wi-Fi': 'free', 'Order at Counter': False, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Good For Kids': True, 'Good For Groups': True}",business
828,SOHp2b8quJEitFeuO58Syw,"1720 E Camelback Rd
Phoenix, AZ 85016","{'Monday': {'close': '21:30', 'open': '11:00'}, 'Tuesday': {'close': '21:30', 'open': '11:00'}, 'Friday': {'close': '21:30', 'open': '11:00'}, 'Wednesday': {'close': '21:30', 'open': '11:00'}, 'Thursday': {'close': '21:30', 'open': '11:00'}, 'Sunday': {'close': '21:30', 'open': '11:00'}, 'Saturday': {'close': '22:00', 'open': '11:00'}}",False,"['Seafood', 'Sushi Bars', 'Restaurants']",Phoenix,35,Fish Market Restaurant,[],-112.044949,AZ,3.5,33.509927,"{'Take-out': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}, 'Good for Kids': True, 'Takes Reservations': True, 'BYOB/Corkage': 'no', 'Delivery': False, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good For Kids': True, 'Good For Groups': True, 'Price Range': 2}",business
874,ut-kla-EA23nJOij_dcL0Q,"2400 E. Camelback Rd
Ste. 112
Phoenix, AZ 85016","{'Monday': {'close': '22:00', 'open': '11:00'}, 'Tuesday': {'close': '22:00', 'open': '11:00'}, 'Friday': {'close': '23:00', 'open': '11:00'}, 'Wednesday': {'close': '22:00', 'open': '11:00'}, 'Thursday': {'close': '22:00', 'open': '11:00'}, 'Sunday': {'close': '21:00', 'open': '11:00'}, 'Saturday': {'close': '22:00', 'open': '11:00'}}",True,"['Pizza', 'American (New)', 'Restaurants']",Phoenix,56,California Pizza Kitchen,[],-112.0301061,AZ,3.5,33.5094212,"{'Take-out': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Caters': True, 'Noise Level': 'average', 'Takes Reservations': True, 'Has TV': True, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Parking': {'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Wheelchair Accessible': False, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'full_bar', 'Waiter Service': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 2}",business
931,CkQKNhlm8DOzxbXm_zb3bg,"2442 E Camelback Rd
Phoenix, AZ 85016",{},False,"['Bars', 'Food', 'Beer, Wine & Spirits', 'Wine Bars', 'Nightlife', 'Restaurants']",Phoenix,3,The Vintage Market,[],-112.0290689,AZ,4.5,33.5094453,"{'Take-out': True, 'Good for Kids': False, 'Takes Reservations': False, 'Delivery': False, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Order at Counter': True, 'Attire': 'casual', 'Waiter Service': False, 'Accepts Credit Cards': True, 'Good For Kids': False, 'Good For Groups': False, 'Price Range': 2}",business
